Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Austin Hazelwood,Champaign IL PD,1457,20942,"08/04/2025, 08:21:38 PM UTC
09/03/2025, 08:21:38 PM UTC",NKK3154,crim damg,,,"09/03/2025, 08:21:43 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,1,5,"08/26/2025, 07:00:00 PM UTC
08/26/2025, 10:00:00 PM UTC",,c25-29891,,,"09/02/2025, 01:49:27 PM UTC",search,,
Sarah Burgener,Champaign IL PD,1,5,"08/26/2025, 07:00:00 PM UTC
08/26/2025, 10:00:00 PM UTC",,c25-29891,,Nissan,"09/02/2025, 01:49:44 PM UTC",search,,
Sarah Burgener,Champaign IL PD,3,81,"08/26/2025, 12:00:00 PM UTC
08/27/2025, 01:00:00 AM UTC",DA20448,c25-29891,,,"09/02/2025, 01:55:22 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,4,93,"08/19/2025, 02:00:49 PM UTC
09/02/2025, 02:00:49 PM UTC",DA20448,c25-29891,,,"09/02/2025, 01:55:52 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,4,93,"08/19/2025, 02:00:49 PM UTC
09/02/2025, 02:00:49 PM UTC",DA20448,c25-29891,,,"09/02/2025, 01:56:01 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,1,2,"08/26/2025, 07:00:00 PM UTC
08/26/2025, 11:00:00 PM UTC",,c25-29891,,"Sedan, Coupe, Convertible, Hatchback, Wagonsilver_grey, white, brown","09/02/2025, 02:22:50 PM UTC",search,,
Arthur Miller,Champaign IL PD,3,81,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 02:30:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 02:25:02 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,1457,20920,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 02:30:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 02:26:14 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,1457,20920,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 02:30:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 02:47:32 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,1457,20920,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 02:45:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 02:47:52 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,3,81,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 02:45:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 03:04:21 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,3,81,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 03:00:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 03:08:33 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,1,1,"08/26/2025, 07:00:00 PM UTC
08/26/2025, 11:00:00 PM UTC",,c25-29891,,"Sedan, Coupe","09/02/2025, 03:12:00 PM UTC",search,,
Sarah Burgener,Champaign IL PD,1,1,"08/26/2025, 11:00:00 PM UTC
08/27/2025, 12:00:00 AM UTC",,c25-29891,,"Sedan, Coupe","09/02/2025, 03:15:45 PM UTC",search,,
Sarah Burgener,Champaign IL PD,1,4,"08/26/2025, 08:00:00 PM UTC
08/26/2025, 09:30:00 PM UTC",,c25-29891,,"Sedan, Coupe","09/02/2025, 03:22:18 PM UTC",search,,
Sarah Burgener,Champaign IL PD,3,81,"08/26/2025, 11:00:00 AM UTC
08/27/2025, 03:00:00 AM UTC",Z433295,c25-29891,vic possibly in veh day of incident,,"09/02/2025, 03:36:44 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,3,81,"08/26/2025, 11:00:00 AM UTC
08/27/2025, 03:00:00 AM UTC",ES26841,c25-29891,vic possibly in veh day of incident,,"09/02/2025, 03:37:05 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,3,81,"08/26/2025, 11:00:00 AM UTC
08/27/2025, 03:00:00 AM UTC",FB55074,c25-29891,vic possibly in veh day of incident,,"09/02/2025, 03:37:50 PM UTC",lookup,,
Sarah Burgener,Champaign IL PD,1,1,"08/26/2025, 06:30:00 PM UTC
08/27/2025, 12:30:00 AM UTC",,c25-29891,,,"09/02/2025, 03:39:43 PM UTC",search,,
Sarah Burgener,Champaign IL PD,1,1,"08/26/2025, 06:30:00 PM UTC
08/27/2025, 12:30:00 AM UTC",,c25-29891,,"Sedan, Coupe","09/02/2025, 03:40:07 PM UTC",search,,
Sarah Burgener,Champaign IL PD,3,81,"08/19/2025, 04:30:16 PM UTC
09/02/2025, 04:30:16 PM UTC",CB47430,c25-29891,vic possibly in veh day of incident,,"09/02/2025, 04:08:19 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,3,81,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 04:30:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 04:23:26 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,1457,20920,"08/02/2025, 12:30:00 PM UTC
09/02/2025, 04:30:00 PM UTC",EN38577,C25-40000733,,illinois,"09/02/2025, 04:24:17 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"09/01/2025, 06:00:28 PM UTC
09/01/2025, 08:00:28 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:44:43 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:44:51 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:46:37 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:47:01 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:47:42 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:49:25 PM UTC",lookup,,
Adam Walton,Champaign IL PD,3,81,"09/01/2025, 08:00:55 AM UTC
09/01/2025, 08:00:55 PM UTC",ds93663,C25-30595,,,"09/01/2025, 07:49:57 PM UTC",lookup,,
