Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Matthew Locklear,Champaign IL PD,1463,20622,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,armed subject,c23-27055,,"08/05/2025, 11:55:24 PM UTC",lookup,,
Christian Borth,Champaign IL PD,1463,20622,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:55:44 PM UTC",lookup,,
Christian Borth,Champaign IL PD,1463,20622,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:58:26 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,hit and run,c25-26101 ,,"08/04/2025, 11:31:39 PM UTC",lookup,,
Christopher Aikman,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",LHM9710,606 e white theft suspect,,,"08/04/2025, 05:31:37 PM UTC",lookup,,
Christopher Aikman,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",LHM9710,606 e white theft suspect,,,"08/04/2025, 05:31:47 PM UTC",lookup,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",BXS861,c25-27080,,indiana,"08/06/2025, 05:45:24 AM UTC",lookup,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",BXS861,c25-27080,,,"08/06/2025, 05:45:47 AM UTC",lookup,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",CC50372,C25-23189,C25-23189,illinois,"08/06/2025, 05:07:38 PM UTC",lookup,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",CC50372,C25-23189,C25-23189,illinois,"08/06/2025, 05:08:21 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,27130,,"08/06/2025, 05:12:48 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,27130,,"08/06/2025, 05:12:58 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,27130,,"08/06/2025, 05:14:04 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,27130,,"08/06/2025, 05:14:22 PM UTC",lookup,,
Austin Massey,Champaign IL PD,1463,20632,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,27130,,"08/06/2025, 05:14:32 PM UTC",lookup,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-23189,C25-23189,illinois,"08/06/2025, 05:18:50 PM UTC",search,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-23189,C25-23189,,"08/06/2025, 05:19:02 PM UTC",search,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-23189,C25-23189,,"08/06/2025, 05:19:12 PM UTC",search,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-23189,C25-23189,SedanLexusred,"08/06/2025, 05:20:04 PM UTC",search,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,,,"08/06/2025, 05:22:56 PM UTC",lookup,,
Austin Massey,Champaign IL PD,1463,20632,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,,,"08/06/2025, 05:23:08 PM UTC",lookup,,
Austin Massey,Champaign IL PD,1463,20632,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF42064,vehicular invasion attempt,,,"08/06/2025, 05:24:56 PM UTC",lookup,,
Christopher Aikman,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ61329,C25-40000595,,,"08/04/2025, 08:17:51 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ46,c25-27160,,silver_grey,"08/06/2025, 07:52:51 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ4,c25-27160,,silver_grey,"08/06/2025, 07:52:57 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ4,c25-27160,,Honda,"08/06/2025, 07:53:06 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 07:53:15 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ466,c25-27160,,Honda,"08/06/2025, 07:53:27 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ46,c25-27160,,Honda,"08/06/2025, 07:53:32 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 07:53:37 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ66,c25-27160,,Honda,"08/06/2025, 07:53:46 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 07:53:53 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 07:53:58 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,,"08/06/2025, 07:54:41 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,,"08/06/2025, 07:55:06 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,,"08/06/2025, 07:55:23 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Hondasilver_grey,"08/06/2025, 07:56:36 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EQ46674,c25-27160,,,"08/06/2025, 07:57:26 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 07:59:11 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",F0,c25-27160,,Honda,"08/06/2025, 07:59:20 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",E0,c25-27160,,Honda,"08/06/2025, 07:59:27 PM UTC",lookup,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 08:00:12 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,Honda,"08/06/2025, 08:00:20 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27160,,silver_grey,"08/06/2025, 08:01:03 PM UTC",search,,
Payton Lareau,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",46674,c25-27160,,silver_grey,"08/06/2025, 08:01:14 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF46,agg assault,,,"08/06/2025, 04:24:01 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF46,agg assault,,,"08/06/2025, 04:24:08 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF4,agg assault,,Jeep,"08/06/2025, 04:24:19 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF,agg assault,,Jeep,"08/06/2025, 04:24:26 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,agg assault,,Jeep,"08/06/2025, 04:24:38 PM UTC",search,,
Sebastian Mora Monge,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",X640522,C25-27047,,,"08/05/2025, 10:33:41 PM UTC",lookup,,
Corbin Snyder,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",x640522,c25-27047,,,"08/05/2025, 10:33:43 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,1463,20621,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,domestic,C25-27054,MinivanChryslerblue,"08/05/2025, 11:00:04 PM UTC",search,,
Matthew Locklear,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,domestic,C25-27054,MinivanChryslerblue,"08/05/2025, 11:00:39 PM UTC",search,,
Matthew Locklear,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,domestic,C25-27054,MinivanChryslerblue,"08/05/2025, 11:00:45 PM UTC",search,,
Matthew Locklear,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,domestic,C25-27054,MinivanChryslerblue,"08/05/2025, 11:03:02 PM UTC",search,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,hit and run,c25-26101,Buicksilver_grey,"08/05/2025, 03:57:16 PM UTC",search,,
Christian Borth,Champaign IL PD,1463,20608,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,hit and run,c25-26101,Buicksilver_grey,"08/05/2025, 03:57:33 PM UTC",search,,
Payton Lareau,Champaign IL PD,1,13,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,c25-27187,,black,"08/07/2025, 12:08:02 AM UTC",search,,
Maxwell Villanti,Champaign IL PD,1418,20641,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,C25-26101,,,"08/07/2025, 12:27:22 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20641,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,C25-26101,,,"08/07/2025, 12:27:24 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20641,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,C25-26101,,,"08/07/2025, 12:27:51 AM UTC",lookup,,
Amy Petrilli,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",CC50372,C25-23189,C25-23189,illinois,"08/06/2025, 05:05:55 PM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20641,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,C25-26101,,,"08/07/2025, 04:02:29 AM UTC",lookup,,
Matthew Locklear,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EY65549,domestic,C25-27054,illinois,"08/05/2025, 11:06:45 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EY65549,domestic,C25-27054,illinois,"08/05/2025, 11:06:52 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,1463,20621,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EY65549,domestic,C25-27054,illinois,"08/05/2025, 11:07:02 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,1463,20621,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",DU41006,domestic,C25-27054,illinois,"08/05/2025, 11:07:40 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,1463,20621,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",DU41006,domestic,C25-27054,,"08/05/2025, 11:07:50 PM UTC",lookup,,
Jesse Brockwell,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391,Oct-32,,,"08/05/2025, 11:15:49 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391,road rage,,,"08/05/2025, 11:17:27 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:19:19 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,1463,20621,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,armed subject,c23-27055,,"08/05/2025, 11:19:30 PM UTC",search,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:22:35 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:25:58 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:27:44 PM UTC",lookup,,
Cristian Carrillo,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,kidnap,,Dodgewhite,"08/07/2025, 02:09:02 AM UTC",search,,
Maxwell Villanti,Champaign IL PD,1418,20641,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,C25-26101,,,"08/07/2025, 04:37:12 AM UTC",lookup,,
Lance Carpenter,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF55315,C25-26264,,,"08/01/2025, 01:59:06 PM UTC",lookup,,
