ID, Name, Org Name, Total Networks Searched, Time Frame, License Plate, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
60e03024-7b8a-4228-a91b-cc1646250bbf,***,Chesterfield County VA PD,890,"03/28/2024, 07:30:46 PM UTC
04/30/2024, 07:30:46 PM UTC",***,,,"04/30/2024, 07:07:28 PM UTC",search,,
ba190a09-2fa2-4888-b0e0-ccced9fc2516,***,Bloomington IL PD,549,"04/30/2024, 07:30:45 AM UTC
04/30/2024, 07:30:45 PM UTC",***,,,"04/30/2024, 07:08:48 PM UTC",search,,
57576231-f429-4f0c-a66c-7d978eece033,***,Bloomington IL PD,548,"04/30/2024, 07:30:42 AM UTC
04/30/2024, 07:30:42 PM UTC",***,,***,"04/30/2024, 07:10:20 PM UTC",search,,
6c345084-1273-4228-be9d-a325cc4d6534,***,Bloomington IL PD,549,"04/30/2024, 07:30:42 AM UTC
04/30/2024, 07:30:42 PM UTC",***,,,"04/30/2024, 07:10:45 PM UTC",search,,
c94b1cd8-d290-456a-87e5-4ae51fb2f406,***,Bloomington IL PD,548,"04/30/2024, 07:30:42 AM UTC
04/30/2024, 07:30:42 PM UTC",***,,***,"04/30/2024, 07:10:52 PM UTC",search,,
942b2b46-01ea-44ef-8750-85a411a9c8c9,***,Bloomington IL PD,548,"04/30/2024, 07:30:42 AM UTC
04/30/2024, 07:30:42 PM UTC",***,,,"04/30/2024, 07:11:13 PM UTC",search,,
0f1c3b49-ea4b-42c8-87db-d01482912287,***,Springfield IL PD,104,"04/30/2024, 06:30:03 AM UTC
04/30/2024, 06:30:03 PM UTC",***,,,"04/30/2024, 07:11:37 PM UTC",search,,
982e3648-082b-47cc-8fa4-456765d7a4ec,***,Bloomington IL PD,548,"04/30/2024, 07:30:45 AM UTC
04/30/2024, 07:30:45 PM UTC",***,,,"04/30/2024, 07:12:47 PM UTC",search,,
07033664-a222-4e34-91b2-a05430ddaec6,***,Bloomington IL PD,549,"04/30/2024, 07:30:57 AM UTC
04/30/2024, 07:30:57 PM UTC",***,,,"04/30/2024, 07:13:59 PM UTC",search,,
56242bb9-b98a-44ce-981e-337d6389b7b7,***,Bloomington IL PD,548,"04/30/2024, 07:30:06 AM UTC
04/30/2024, 07:30:06 PM UTC",***,,,"04/30/2024, 07:14:08 PM UTC",search,,
9b2550bd-cdd8-4578-b7a9-a90d8c6239b5,***,Springfield IL PD,104,"03/31/2024, 07:14:49 PM UTC
04/30/2024, 07:14:49 PM UTC",***,,,"04/30/2024, 07:14:50 PM UTC",lookup,,
ea79c509-731c-4845-af92-082550b5276f,***,Springfield IL PD,104,"04/30/2024, 07:30:09 AM UTC
04/30/2024, 07:30:09 PM UTC",***,,,"04/30/2024, 07:15:10 PM UTC",search,,
733fb03d-25da-4d49-8d1b-a03d2afc3951,***,Decatur IL PD,648,"03/31/2024, 07:15:36 PM UTC
04/30/2024, 07:15:36 PM UTC",***,,,"04/30/2024, 07:15:40 PM UTC",lookup,,
18ccad53-92d0-48cb-b2f2-f585256aacd2,***,Bloomington IL PD,549,"04/30/2024, 07:30:47 AM UTC
04/30/2024, 07:30:47 PM UTC",***,,,"04/30/2024, 07:15:49 PM UTC",search,,
bfb4a449-9596-4a7a-ab80-9a1fa81e4e0d,***,Bloomington IL PD,548,"04/30/2024, 07:30:11 AM UTC
04/30/2024, 07:30:11 PM UTC",***,,,"04/30/2024, 07:16:14 PM UTC",search,,
53836246-cac0-458d-a9cd-c0a168a55ce8,***,[Federal] US Postal Inspection Service,2029,"04/30/2024, 07:30:55 AM UTC
04/30/2024, 07:30:55 PM UTC",***,,,"04/30/2024, 07:16:58 PM UTC",search,,
f7daa5da-52dd-43e6-8c28-0dae972da196,***,Bloomington IL PD,549,"04/30/2024, 07:30:06 AM UTC
04/30/2024, 07:30:06 PM UTC",***,,,"04/30/2024, 07:18:08 PM UTC",search,,
d51ef503-a321-4f74-8470-d2209818c060,***,Danville IL PD,167,"04/30/2024, 07:30:00 AM UTC
04/30/2024, 07:30:05 PM UTC",***,,,"04/30/2024, 07:18:38 PM UTC",search,,
f8fc3fac-0225-488c-bcde-5552875d061a,***,Chesterfield County VA PD,890,"04/30/2024, 07:30:46 AM UTC
04/30/2024, 07:30:46 PM UTC",***,,,"04/30/2024, 07:19:50 PM UTC",search,,
2b235906-555e-4066-b680-7f362e9d1e48,***,Chesterfield County VA PD,890,"03/30/2024, 05:30:52 PM UTC
04/30/2024, 07:30:52 PM UTC",***,,,"04/30/2024, 07:21:07 PM UTC",search,,
28e63836-1405-4d24-8cef-e4d821684114,***,Chesterfield County VA PD,890,"04/30/2024, 07:30:34 AM UTC
04/30/2024, 07:30:34 PM UTC",***,,,"04/30/2024, 07:21:39 PM UTC",search,,
ab007b10-0122-43b5-be63-e48b07c0a663,***,Bloomington IL PD,549,"04/30/2024, 07:30:38 AM UTC
04/30/2024, 07:30:38 PM UTC",***,,,"04/30/2024, 07:21:41 PM UTC",search,,
252be412-a828-4527-a1de-b196217ac6c4,***,Chesterfield County VA PD,888,"03/27/2024, 01:30:45 PM UTC
04/29/2024, 08:30:00 PM UTC",***,,,"04/29/2024, 08:32:45 PM UTC",search,,
22be83f0-bea3-4a8c-a128-dfef6a3bb6b1,***,Bloomington IL PD,4493,"04/22/2024, 08:34:09 PM UTC
04/29/2024, 08:34:09 PM UTC",***,,***,"04/29/2024, 08:34:15 PM UTC",lookup,,
e1770298-6b5d-4884-af27-0f79788803b4,***,University of Illinois at Urbana-Champaign IL PD,118,"04/29/2024, 07:00:11 PM UTC
04/29/2024, 09:00:11 PM UTC",***,,,"04/29/2024, 08:35:20 PM UTC",search,,
e977038a-ac4b-46ae-8e21-9cf694ad3bda,***,University of Illinois at Urbana-Champaign IL PD,118,"04/29/2024, 07:00:11 PM UTC
04/29/2024, 09:00:11 PM UTC",***,,***,"04/29/2024, 08:35:42 PM UTC",search,,
75d90b91-9489-4463-afcd-cd0c3a2de41a,***,LeRoy IL PD,471,"04/28/2024, 08:35:37 PM UTC
04/29/2024, 08:35:37 PM UTC",***,,***,"04/29/2024, 08:35:49 PM UTC",lookup - Mobile,,
86080b11-3fe7-4a41-ad18-db53dd272d8e,***,University of Illinois at Urbana-Champaign IL PD,118,"04/27/2024, 09:00:31 PM UTC
04/29/2024, 09:00:31 PM UTC",***,,***,"04/29/2024, 08:35:57 PM UTC",search,,
a70b7344-a8d1-42ff-9e11-692e8d7ebd28,***,[Federal] US Postal Inspection Service,2094,"04/29/2024, 06:50:00 AM UTC
04/29/2024, 07:45:00 AM UTC",,,,"04/29/2024, 08:39:01 PM UTC",search,,
6375e45a-6e54-40ee-b22f-8d7bd0e26083,***,[Federal] US Postal Inspection Service,2094,"04/29/2024, 06:50:00 AM UTC
04/29/2024, 07:45:00 AM UTC",,,***,"04/29/2024, 08:39:43 PM UTC",search,,
